card_no,deal_date,deal_type,deal_money,deal_value,equ_no,company_name,station,car_no,conn_mark,close_date
BEBJAEBGA,2018-09-01 07:07:55,巴士,100,200,231018882,巴士集团,44路,08788D,0,2018-09-01 00:00:00
FFJJHHDHB,2018-09-01 06:09:41,巴士,160,200,231018884,巴士集团,307路,03767D,0,2018-09-01 00:00:00
FFEFBDCAG,2018-09-01 06:19:34,巴士,160,200,231018884,巴士集团,307路,03767D,0,2018-09-01 00:00:00
FHIHEHIFH,2018-09-01 08:48:39,地铁入站,0,0,241018108,地铁十一号线,碧海湾站,IGT-108,0,2018-09-01 00:00:00
BIFBDEBBF,2018-09-01 06:30:59,巴士,160,200,231018884,巴士集团,307路,03767D,0,2018-09-01 00:00:00
BEBJCDEBB,2018-09-01 06:42:50,巴士,125,250,231018906,巴士集团,58路,01701D,0,2018-09-01 00:00:00
BIDCFJACJ,2018-09-01 06:51:02,巴士,160,200,231018908,巴士集团,316路,46871D,0,2018-09-01 00:00:00
FIJGDAIBE,2018-09-01 08:51:20,地铁入站,0,0,265028115,地铁七号线,赤尾,进AGM17-18,0,2018-09-01 00:00:00
FFFAFIDFJ,2018-09-01 08:52:51,地铁入站,0,0,265028117,地铁七号线,赤尾,进AGM19-20,0,2018-09-01 00:00:00
FIJHDBFDD,2018-09-01 08:53:23,地铁出站,245,300,265028102,地铁七号线,赤尾,出AGM02-03,1,2018-09-01 00:00:00
FHIIEEIEH,2018-09-01 08:51:52,地铁出站,435,500,261015116,地铁三号线,田贝,AGM-116,1,2018-09-01 00:00:00
FHEFDAFCA,2018-09-01 08:54:45,地铁入站,0,0,265013111,地铁七号线,茶光,进AGM17-18,0,2018-09-01 00:00:00
BIDCJIJFC,2018-09-01 08:53:17,地铁出站,190,200,265013103,地铁七号线,茶光,出AGM03-04,0,2018-09-01 00:00:00
FIJEEIBFJ,2018-09-01 08:56:36,地铁出站,190,200,265032114,地铁七号线,黄木岗,宽AGM19-20,0,2018-09-01 00:00:00
FIAFEHGDC,2018-09-01 08:54:54,地铁出站,285,300,260029122,地铁二号线,,,0,2018-09-01 00:00:00
FHEHBFAHG,2018-09-01 08:54:59,地铁出站,475,500,260029110,地铁二号线,景田,IGT-110,0,2018-09-01 00:00:00
FHHAIDGJC,2018-09-01 08:56:08,地铁入站,0,0,265035124,地铁七号线,笋岗,进AGM28-29,0,2018-09-01 00:00:00
FHDCHJAFI,2018-09-01 08:55:05,地铁出站,665,700,241021125,地铁十一号线,福永站,OGT-125,0,2018-09-01 00:00:00
CFACBAIAI,2018-09-01 08:55:41,地铁出站,665,700,241021106,地铁十一号线,福永站,OGT-106,0,2018-09-01 00:00:00
CBDCGJCBG,2018-09-01 08:52:06,地铁入站,0,0,262012111,地铁四号线,龙华,AGM-111,0,2018-09-01 00:00:00
BIDGEIHIF,2018-09-01 08:45:22,地铁出站,190,200,262018107,地铁四号线,民乐,AGM-107,0,2018-09-01 00:00:00
FFEAEFCFI,2018-09-01 08:50:04,地铁入站,0,0,262014109,地铁四号线,上塘,AGM-109,0,2018-09-01 00:00:00
FFFJCAJDC,2018-09-01 08:47:34,地铁入站,0,0,262018105,地铁四号线,民乐,AGM-105,0,2018-09-01 00:00:00
FIJFCIHCI,2018-09-01 08:55:40,地铁出站,380,400,263022111,地铁五号线,塘朗,AGT-111,0,2018-09-01 00:00:00
CBHHAADIB,2018-09-01 08:55:07,地铁出站,190,200,263027112,地铁五号线,坂田,AGT-112,0,2018-09-01 00:00:00
FFCBGBGBA,2018-09-01 08:55:39,地铁出站,190,200,263017115,地铁五号线,洪浪北,OGT-115,0,2018-09-01 00:00:00
