card_no,deal_date,deal_type,deal_money,deal_value,equ_no,company_name,station,car_no,conn_mark,close_date
BIFJHHCIC,2018-09-01 07:20:33,地铁出站,380,400,263031103,地铁五号线,长龙,OGT-103,0,2018-09-01 00:00:00
FHGDAGCEC,2018-09-01 07:16:00,地铁入站,0,0,262012118,地铁四号线,龙华,AGM-118,0,2018-09-01 00:00:00
CBFEFEDDG,2018-09-01 07:21:40,地铁出站,475,500,263025116,地铁五号线,民治,OGT-116,0,2018-09-01 00:00:00
GJJBBGGIH,2018-09-01 07:16:32,地铁入站,0,0,262012118,地铁四号线,龙华,AGM-118,0,2018-09-01 00:00:00
FIJHBAAAH,2018-09-01 07:19:36,地铁入站,0,0,262012118,地铁四号线,龙华,AGM-118,0,2018-09-01 00:00:00
FHIDIAAAJ,2018-09-01 07:18:38,地铁出站,190,200,262016110,地铁四号线,深圳北站,AGM-110,0,2018-09-01 00:00:00
CFBJCDJAI,2018-09-01 07:17:28,地铁出站,190,200,262016110,地铁四号线,深圳北站,AGM-110,0,2018-09-01 00:00:00
FFGIJGAIA,2018-09-01 07:16:48,地铁入站,0,0,262012105,地铁四号线,龙华,AGM-105,0,2018-09-01 00:00:00
CBCFBCIAG,2018-09-01 07:12:22,地铁入站,0,0,262014111,地铁四号线,上塘,AGM-111,0,2018-09-01 00:00:00
CCJIDFIIF,2018-09-01 07:16:46,地铁出站,380,400,262016110,地铁四号线,深圳北站,AGM-110,0,2018-09-01 00:00:00
FHIBDABJI,2018-09-01 07:17:46,地铁入站,0,0,262012118,地铁四号线,龙华,AGM-118,0,2018-09-01 00:00:00
CBIBACEHE,2018-09-01 07:20:06,地铁入站,0,0,262012105,地铁四号线,龙华,AGM-105,0,2018-09-01 00:00:00
FHEBEEABG,2018-09-01 07:18:42,地铁入站,0,0,262012118,地铁四号线,龙华,AGM-118,0,2018-09-01 00:00:00
CBEHBECAF,2018-09-01 07:16:24,地铁入站,0,0,262017113,地铁四号线,,,0,2018-09-01 00:00:00
FHGBDIEDH,2018-09-01 07:19:34,地铁入站,0,0,262015103,地铁四号线,红山,AGM-103,0,2018-09-01 00:00:00
CBGCABJJI,2018-09-01 07:19:24,地铁入站,0,0,262012105,地铁四号线,龙华,AGM-105,0,2018-09-01 00:00:00
BJIACAFC,2018-09-01 07:16:12,地铁入站,0,0,262014111,地铁四号线,上塘,AGM-111,0,2018-09-01 00:00:00
CBIBBFFGH,2018-09-01 07:16:38,地铁入站,0,0,262012105,地铁四号线,龙华,AGM-105,0,2018-09-01 00:00:00
FHEICGJEA,2018-09-01 07:21:11,地铁入站,0,0,263033116,地铁五号线,百鸽笼,IGT-116,0,2018-09-01 00:00:00
FIAIAAIED,2018-09-01 07:21:15,地铁出站,380,400,263031107,地铁五号线,长龙,OGT-107,0,2018-09-01 00:00:00
CBFHIJFCB,2018-09-01 07:21:30,地铁入站,0,0,263017106,地铁五号线,洪浪北,IGT-106,0,2018-09-01 00:00:00
CBIDDIIEA,2018-09-01 07:19:59,地铁入站,0,0,263036119,地铁五号线,怡景,IGT-119,0,2018-09-01 00:00:00
CFFJBEIGB,2018-09-01 07:21:54,地铁入站,0,0,263037102,地铁五号线,黄贝岭,IGT-102,0,2018-09-01 00:00:00
CBGCDEAHG,2018-09-01 07:21:23,地铁出站,190,200,263028103,地铁五号线,杨美,OGT-103,0,2018-09-01 00:00:00
FIJHABABI,2018-09-01 07:21:56,地铁出站,570,600,263025104,地铁五号线,民治,OGT-104,0,2018-09-01 00:00:00
CFHJDEHDI,2018-09-01 07:21:45,地铁出站,665,700,263025118,地铁五号线,民治,OGT-118,0,2018-09-01 00:00:00
FFBCFFIAJ,2018-09-01 07:21:42,地铁入站,0,0,263015106,地铁五号线,翻身,IGT-106,0,2018-09-01 00:00:00
FHIBJFGEF,2018-09-01 07:21:11,地铁入站,0,0,263033115,地铁五号线,百鸽笼,IGT-115,0,2018-09-01 00:00:00
CBIDBEAHJ,2018-09-01 07:21:40,地铁出站,380,400,263025119,地铁五号线,民治,OGT-119,0,2018-09-01 00:00:00
CFAFFAIJA,2018-09-01 07:21:12,地铁入站,0,0,263036110,地铁五号线,怡景,IGT-110,0,2018-09-01 00:00:00
CBFHHAIJC,2018-09-01 07:21:26,地铁入站,0,0,263028115,地铁五号线,杨美,IGT-115,0,2018-09-01 00:00:00
CBHHBEFFF,2018-09-01 07:21:51,地铁入站,0,0,263034107,地铁五号线,布心,AGT-107,0,2018-09-01 00:00:00
CCAEIEHJG,2018-09-01 07:22:05,地铁出站,190,200,263018103,地铁五号线,兴东,OGT-103,0,2018-09-01 00:00:00
CFBBFDHHD,2018-09-01 07:21:51,地铁出站,475,500,263025116,地铁五号线,民治,OGT-116,0,2018-09-01 00:00:00
FIJCFCBHB,2018-09-01 07:21:33,地铁入站,0,0,263025115,地铁五号线,民治,IGT-115,0,2018-09-01 00:00:00
CBCFAHDAA,2018-09-01 07:22:37,地铁入站,0,0,261017109,地铁三号线,草埔,AGM-109,0,2018-09-01 00:00:00
FHGCFHIDE,2018-09-01 07:21:10,地铁出站,625,700,268030102,地铁一号线,宝安中心,OGT-102,1,2018-09-01 00:00:00
CCAEBCBBE,2018-09-01 07:14:31,地铁出站,285,300,267019122,地铁九号线,下梅林,OGT-122,0,2018-09-01 00:00:00
BICACBBHI,2018-09-01 07:16:09,地铁入站,0,0,241020124,地铁十一号线,机场北站,IGT-124,0,2018-09-01 00:00:00
FHIGEEDIF,2018-09-01 07:16:13,地铁出站,245,300,241019109,地铁十一号线,机场站,OGT-109,1,2018-09-01 00:00:00
BIACGHAHJ,2018-09-01 07:16:04,地铁入站,0,0,265021115,地铁七号线,上沙,宽AGM18-19,0,2018-09-01 00:00:00
FFIJHEIIA,2018-09-01 07:17:28,地铁入站,0,0,265024115,地铁七号线,皇岗村,进AGM17-18,0,2018-09-01 00:00:00
BEAAIBHBC,2018-09-01 07:17:11,地铁入站,0,0,267018115,地铁九号线,梅景,IGT-115,0,2018-09-01 00:00:00
CBEFJCIHI,2018-09-01 07:14:49,地铁入站,0,0,241024118,地铁十一号线,马鞍山,AGT-118,0,2018-09-01 00:00:00
FFEDDEEDJ,2018-09-01 07:17:14,地铁入站,0,0,241024108,地铁十一号线,马鞍山,IGT-108,0,2018-09-01 00:00:00
BEBACAFJJ,2018-09-01 07:17:58,地铁入站,0,0,265014111,地铁七号线,珠光,进AGM22-23,0,2018-09-01 00:00:00
