favorites	genres	type	episodes	year
continuous	string	Movie Music ONA OVA PV Special TV TV\ Special	1.0 2.0 3.0 4.0 5.0 6.0 7.0 8.0 9.0 10.0 11.0 12.0 13.0 14.0 15.0 16.0 17.0 20.0 22.0 23.0 24.0 25.0 26.0 27.0 28.0 30.0 33.0 36.0 37.0 39.0 40.0 43.0 47.0 48.0 50.0 51.0 52.0 54.0 59.0 62.0 64.0 70.0 74.0 75.0 77.0 78.0 79.0 94.0 96.0 99.0 101.0 110.0 112.0 120.0 148.0 175.0 201.0 209.0 237.0 291.0 500.0	1970.0 1979.0 1980.0 1986.0 1989.0 1990.0 1992.0 1993.0 1995.0 1996.0 1997.0 1998.0 1999.0 2000.0 2002.0 2003.0 2004.0 2005.0 2006.0 2007.0 2008.0 2009.0 2010.0 2011.0 2012.0 2013.0 2014.0 2015.0 2016.0 2017.0 2018.0 2019.0 2020.0 2021.0 2022.0 2023.0 2024.0 2025.0 2026.0
class	meta			
14778	Adventure, Comedy, Drama	TV	13.0	2018.0
4698	Action, Drama, Fantasy, Mystery, Romance, Suspense	Movie	1.0	
43272	Action, Adventure	TV	39.0	2016.0
1051	Drama	Movie	1.0	
157	Boys Love, Drama	Movie	1.0	
53990	Action, Comedy, Supernatural	TV	12.0	2016.0
531	Action, Adventure, Drama, Fantasy	ONA	1.0	
63	Action, Comedy, Drama, Fantasy	Movie	1.0	
3946	Comedy	TV	99.0	2012.0
66358	Action, Comedy	TV	12.0	2015.0
13748	Adventure, Fantasy	TV	23.0	2021.0
164	Action, Adventure, Drama, Fantasy	ONA		
32909	Mystery, Suspense	TV	12.0	2019.0
17922	Action, Comedy	TV	25.0	2016.0
4289	Sci-Fi, Slice of Life	TV	13.0	2008.0
25532	Comedy	TV	26.0	2011.0
318	Action, Adventure, Fantasy	ONA		
1299	Action, Adventure, Drama, Fantasy, Mystery	ONA	8.0	
3556	Action, Fantasy	Movie	1.0	
7170	Action, Adventure, Drama, Fantasy, Mystery	ONA	15.0	
8650	Drama, Suspense	TV	26.0	2010.0
24559	Action, Supernatural	TV	112.0	1992.0
11282	Mystery, Supernatural, Suspense	TV	25.0	2022.0
3026	Comedy, Mystery, Supernatural	TV	12.0	2015.0
2826	Drama, Sci-Fi	Movie	1.0	
31969	Action, Adventure, Drama, Suspense	TV	24.0	2018.0
22397	Comedy	TV	12.0	2018.0
268	Action, Comedy	Special	2.0	
1686	Drama, Romance, Sports	TV	24.0	2019.0
3298	Action, Mystery, Sci-Fi, Suspense	ONA	8.0	
22013	Action, Adventure	TV	24.0	2015.0
15314	Action, Comedy, Supernatural	TV	12.0	2024.0
789	Drama, Romance	ONA	5.0	
6426	Drama, Fantasy, Suspense	TV	16.0	2024.0
1064	Comedy, Mystery, Supernatural	TV	6.0	2019.0
55045	Action, Fantasy	TV	12.0	2022.0
41190	Action, Award Winning, Comedy	TV	12.0	2022.0
12117	Action, Adventure, Fantasy	TV	62.0	1999.0
394	Action, Adventure, Fantasy	ONA	209.0	
78098	Sports	TV	25.0	2014.0
1621	Action, Adventure	TV	12.0	2020.0
99	Drama, Sports	TV	9.0	2026.0
3691	Action, Comedy, Supernatural	TV	12.0	2025.0
128	Adventure, Mystery, Slice of Life, Supernatural	TV Special	1.0	
228	Slice of Life, Supernatural	Movie	1.0	
13339	Drama, Fantasy, Suspense	TV	12.0	2021.0
1845	Drama	TV	13.0	2019.0
45	Action, Comedy, Sci-Fi	Movie	2.0	
2033	Action	OVA	2.0	
6148	Action, Adventure, Drama, Fantasy	ONA	11.0	
8967	Award Winning, Mystery, Sci-Fi	TV	26.0	2002.0
3414	Action, Mystery	TV	13.0	2023.0
1731	Drama	Movie	1.0	
884	Action, Adventure, Comedy, Drama, Mystery	ONA	10.0	
33591	Comedy	TV	120.0	2016.0
4442	Comedy	TV	24.0	2018.0
9220	Horror, Mystery, Supernatural, Suspense	TV	12.0	2007.0
768	Romance	Movie	1.0	
2768	Comedy, Romance	Movie	1.0	
94601	Action, Award Winning, Supernatural	TV	26.0	2019.0
175	Drama	Special	1.0	
81	Slice of Life, Supernatural	Special	2.0	
8460	Drama, Fantasy	Movie	1.0	
1117	Comedy, Romance, Supernatural	OVA	4.0	
5052	Adventure, Comedy, Fantasy	Movie	1.0	
42220	Comedy, Romance	TV	12.0	2019.0
4583	Adventure, Drama, Fantasy, Ecchi	TV	12.0	2024.0
292	Adventure, Drama, Fantasy, Mystery, Sci-Fi	Movie	1.0	
226	Adventure	Movie	1.0	
14931	Action, Drama, Fantasy, Mystery	TV	12.0	2017.0
645	Sports	TV	25.0	2009.0
45	Action, Adventure, Fantasy, Sci-Fi	ONA	33.0	
112	Action, Fantasy	PV	1.0	
6511	Drama, Sports	TV	23.0	2018.0
11481	Action, Sci-Fi, Suspense	TV	13.0	2021.0
1105	Drama, Suspense	Movie	1.0	
7118	Drama, Romance	Movie	1.0	
59912	Award Winning, Drama, Suspense	TV	12.0	2011.0
477		Movie	1.0	
144	Comedy	OVA	2.0	
